id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58790;;Ersatzfernlcht Zu Scheinwerfer ;;;;;;;;;;;;;;;;;;;;;;;;;;;Cyclope;;;;;;;;;;;;;;;;;;;;;;;;;
58791;;Ersatzabblendlicht Zu Scheinwerfer ;;;;;;;;;;;;;;;;;;;;;;;;;;;Cyclope;;;;;;;;;;;;;;;;;;;;;;;;;
58792;;Geländeabdeckung Zu ;;;;;;;;;;;;;;;;;;;;;;;;;;;Scheinwerfer Ciclope;;;;;;;;;;;;;;;;;;;;;;;;;
58793;;Side Panels Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>WR 250/450 03-06 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58794;;Radiator Scoops Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;Blau;<ul><li>WR 250/450 03-04 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58795;;Radiator Scoops Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;;;Gelb;<ul><li>RMZ 250 04-06 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58796;;Front Number Plate Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>CR125/250R 04/07</li><li>CRF 250/450R 04/07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58797;;Front Number Plate Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>CR125/250R 04/07</li><li>CRF 250/450R 04/07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58798;;Front Number Plate Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Rot;<ul><li>CR125/250R 04/07</li><li>CRF 250/450R 04/07</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58799;;Front Fender Honda;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>CR 125/250 04/07</li><li>CRE 125R 04/06</li><li>CRE 250R 04/06</li><li>CRF 250R 04/09</li><li>CRF 250X 04-</li><li>CRF 450R 04/08</li><li>CRE 450F 04/08</li><li>CRF 450X 05-</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
